StudiumID;StudentID;Studiumbeginn;Alter;Geschlecht;Studiengang;Leistungspunkte_zum_Abschluss;Kuendigungsdatum
31631319;31237713;12.06.2019;24;m;Betriebswirt Hotelmanagement;180;04.11.2020
31621464;31232361;15.05.2019;29;f;Personalmanagement;180;04.11.2020
31670955;31253967;11.07.2019;28;m;BA Luftverkehrsmanagement;180;03.11.2020
31678089;31257435;19.07.2019;37;f;BA Luftverkehrsmanagement;180;03.11.2020
31634991;31239564;07.06.2019;46;m;BA Luftverkehrsmanagement;180;02.11.2020
31631403;31237767;02.06.2019;49;f;Mediendesign;180;02.11.2020
31650978;31246761;21.06.2019;21;f;Fernstudium Bachelor of Arts Pflegemanagement;180;02.11.2020
31623261;31233390;12.05.2019;33;f;Fernstudium Bachelor of Arts Architektur 240 ECTS;180;01.11.2020
31643838;31243731;12.06.2019;32;f;Bachelor Informatik berufsbegleitend;180;30.10.2020
31674960;31255920;16.07.2019;22;f;Bachelor International Management berufsbegleitend;90;30.10.2020
31621257;31232274;09.05.2019;53;f;FlexLearning Bachelor Modell;180;29.10.2020
31628502;31236231;26.06.2019;29;m;Orientierungsstudium Bachelor of Arts E-Commerce;180;29.10.2020
31644825;31233897;07.06.2019;22;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;29.10.2020
31623042;31233243;12.05.2019;26;f;FS Mitarbeiterkurse;180;28.10.2020
31672005;31254492;17.07.2019;27;f;Bachelor Psychologie berufsbegleitend;180;28.10.2020
31614420;31228677;16.06.2019;24;f;Bachelor Personalmanagement berufsbegleitend;180;28.10.2020
31672644;27408384;12.07.2019;33;m;Fernstudium Bachelor of Arts Fitnessökonomie;210;28.10.2020
31687734;31262367;04.08.2019;43;m;BA Luftverkehrsmanagement;180;27.10.2020
31621188;31232256;09.05.2019;24;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;27.10.2020
31603716;31223934;07.05.2019;32;m;Orientierungsstudium Bachelor of Arts E-Commerce;180;27.10.2020
31641219;31242519;07.06.2019;36;f;Personalmanagement;180;25.10.2020
31665237;31253097;09.07.2019;31;m;Betriebswirt Gesundheitsmanagement;180;25.10.2020
31601616;31222923;07.05.2019;38;f;Bachelor Personalmanagement berufsbegleitend;180;24.10.2020
31626843;31235400;18.05.2019;28;f;FlexLearning Bachelor Modell;180;23.10.2020
