StudiumID;StudentID;Datum;ects_gathered
31594068;31219497;20.01.2020;5
31594068;31219497;12.02.2020;5
31594068;31219497;25.02.2020;5
31594068;31219497;05.05.2020;5
31594068;31219497;02.06.2020;5
31594068;31219497;16.08.2020;5
31594068;31219497;25.08.2020;5
31594068;31219497;06.10.2020;5
31594068;31219497;15.10.2020;5
31594068;31219497;06.12.2020;5
31594068;31219497;24.12.2020;5
31594068;31219497;26.01.2021;5
31594182;30132171;02.09.2019;10
31594209;31219527;08.08.2019;10
31594209;31219527;22.10.2019;5
31594209;31219527;13.01.2020;5
31594209;31219527;14.02.2020;5
31594209;31219527;17.02.2020;5
31594209;31219527;11.04.2020;10
31594209;31219527;02.05.2020;5
31594209;31219527;12.06.2020;5
31594209;31219527;09.08.2020;5
31594209;31219527;20.08.2020;5
31594209;31219527;16.09.2020;5
31594209;31219527;24.09.2020;5
31594209;31219527;02.11.2020;5
31594209;31219527;19.11.2020;5
31594209;31219527;22.12.2020;5
31594209;31219527;06.01.2021;5
31594209;31219527;08.01.2021;5
31594209;31219527;16.02.2021;5
31594404;31218318;12.07.2019;5
31594404;31218318;29.09.2019;5
31594404;31218318;15.10.2019;5
31594404;31218318;19.10.2019;5
31594404;31218318;20.12.2019;5
31594404;31218318;20.01.2020;5
31594404;31218318;31.03.2020;5
31594404;31218318;25.04.2020;5
31594404;31218318;23.05.2020;5
31594404;31218318;18.06.2020;5
31594404;31218318;18.07.2020;5
31594404;31218318;18.11.2020;5
31594404;31218318;08.12.2020;5
31594404;31218318;17.12.2020;5
31594404;31218318;17.01.2021;10
31594767;31219821;24.07.2019;5
31594767;31219821;23.08.2019;5
31594767;31219821;07.10.2019;2
31594767;31219821;21.03.2020;5
31594767;31219821;10.04.2020;5
31594767;31219821;01.06.2020;5
31594767;31219821;13.07.2020;5
31594767;31219821;12.10.2020;5
31594767;31219821;26.10.2020;5
31594767;31219821;24.01.2021;2
31594767;31219821;07.02.2021;2
31594983;31219923;22.07.2019;5
31594983;31219923;03.09.2019;5
31594983;31219923;09.11.2019;5
31594983;31219923;29.11.2019;5
31594983;31219923;28.12.2019;5
31594983;31219923;22.03.2020;5
31594983;31219923;26.03.2020;5
31594983;31219923;20.05.2020;5
31594983;31219923;07.07.2020;5
31594983;31219923;26.10.2020;5
31594983;31219923;30.12.2020;5
31594983;31219923;04.01.2021;5
31594983;31219923;22.01.2021;5
31594983;31219923;27.02.2021;5
31594983;31219923;16.03.2021;5
31595130;31219992;28.06.2019;5
31595130;31219992;25.11.2019;5
31595130;31219992;31.01.2020;5
31595130;31219992;17.02.2020;10
31595130;31219992;21.04.2020;5
31595130;31219992;27.04.2020;5
31595130;31219992;25.05.2020;5
31595130;31219992;22.06.2020;5
31595130;31219992;27.07.2020;5
31595130;31219992;28.09.2020;5
31595130;31219992;12.10.2020;5
31595130;31219992;18.01.2021;5
31595130;31219992;15.02.2021;5
31595253;30216705;02.09.2019;10
31595496;31220082;10.05.2019;70
31595496;31220082;11.06.2019;5
31595496;31220082;14.06.2019;5
31595496;31220082;12.09.2019;5
31595496;31220082;18.10.2019;5
31595496;31220082;17.11.2019;5
31595496;31220082;28.11.2019;5
31595496;31220082;18.03.2020;5
31595496;31220082;17.05.2020;5
31595496;31220082;10.07.2020;5
31595679;31220226;22.06.2019;21
31595679;31220226;04.09.2019;5
31595679;31220226;27.12.2019;5
31595679;31220226;13.07.2020;2
31595679;31220226;30.07.2020;5
31595679;31220226;12.10.2020;5
31595679;31220226;26.10.2020;5
31595766;31220256;26.08.2019;5
31595766;31220256;12.12.2019;5
31595766;31220256;23.12.2019;5
31595766;31220256;12.02.2020;5
31595766;31220256;30.04.2020;5
31595766;31220256;22.06.2020;5
31595766;31220256;13.07.2020;5
31595766;31220256;28.09.2020;5
31595766;31220256;26.10.2020;5
31595766;31220256;09.11.2020;5
31595790;31220262;19.09.2019;5
31595790;31220262;26.12.2019;5
31595790;31220262;07.02.2020;5
31595790;31220262;17.02.2020;5
31595790;31220262;30.03.2020;5
31595790;31220262;27.04.2020;5
31595790;31220262;22.06.2020;5
31595790;31220262;10.07.2020;5
31595790;31220262;27.07.2020;5
31595790;31220262;24.08.2020;5
31595790;31220262;16.11.2020;5
31595937;30647718;11.05.2019;25
31595937;30647718;21.05.2019;5
31595937;30647718;16.06.2019;5
31595937;30647718;08.07.2019;5
31595937;30647718;01.08.2019;5
31595937;30647718;25.08.2019;5
31595937;30647718;12.09.2019;5
31595937;30647718;31.10.2019;5
31595937;30647718;27.11.2019;5
31595937;30647718;02.12.2019;5
31595937;30647718;26.12.2019;5
31595937;30647718;17.01.2020;5
31595937;30647718;09.02.2020;5
31595937;30647718;25.03.2020;5
31595937;30647718;03.05.2020;5
31595937;30647718;25.05.2020;5
31595937;30647718;16.08.2020;10
31595937;30647718;10.09.2020;5
31595937;30647718;20.09.2020;5
31595937;30647718;01.10.2020;5
31595937;30647718;14.11.2020;5
31595937;30647718;29.11.2020;5
31595937;30647718;03.12.2020;5
31595937;30647718;27.12.2020;5
